itemId	timestamp	address	parentItemId
	1539593961630	-2571823634721508813	null
9247526	1539187090636	-1848788721524220278	-1
F7108688	1529477127141	-1	null
F7134239	1528538612844	-6373291646473613089	-1
F7154996	1529477143136	-1	null
F7243667	1539065755374	-3939564973941109987	-1
F7328776	1528284902758	1405451950033454729	-1
F7344433	1531806502157	-5655706921459459053	-1
F7345569	1535447549259	-1	null
F7358337	1528447661273	-1	null
F7373075	1528916515723	986599047765879986	-1
F7373097	1531395282096	-1	null
F7376665	1528748623899	-6196490120761152012	-1
F7391886	1528371510465	-6975491984682628175	-1
F7404695	1529082565216	8375791865885302222	-1
F7410177	1536560035219	-1	null
F7416486	1530047932974	-8608182124092177080	-1
F7417070	1532302506905	897836185907794843	-1
F7417133	1529955167631	-1	null
F7417134	1531374553302	-378114927423601818	-1
F7417476	1535112224533	5584577939061494859	-1
F7418151	1535447797686	-1	null
F7418156	1528272810868	2600212495939589915	-1
F7418163	1528361854453	-5224746221307836748	-1
F7418164	1529905275667	3622430746677702478	-1
F7418165	1532471036760	4646720082062120060	-1
F7418185	1529014547661	8418564811875842441	-1
F7418187	1529670745864	-1743798228505193158	-1
F7420147	1529073108426	3407280054864427282	-1
F7430141	1529067095508	142392605671370416	-1
F7431522	1539065483128	8240429773739531826	-1
F7432848	1530067489522	-1848788721524220278	-1
F7436933F7436933	1528881618165	-1	null
F7447506	1531567096389	-1	null
F7447679	1528806827303	5491168338925147774	-1
F7448867	1530907853744	6629077505579689371	-1
F7450249	1529519204754	-1848788721524220278	-1
F7454523	1529088204928	4646720082062120060	-1
F7458541	1529555180788	6300574838115879515	-1
F7462033	1528363506436	8340916699343541634	-1
F7475400	1529973743433	-5838424063914740714	-1
F7475846	1532073844894	-3255932026698859782	-1
F7476083	1528364333482	-9100101032468893356	-1
F7483942	1528686673387	-1686734335080013094	-1
F7484711	1528912041738	5584577939061494859	-1
F7485546	1528815364797	914845595629141593	-1
F7487232	1528370015490	-1	null
F7489714	1531467106903	-1	null
F7492616	1528761069481	6892610991451277547	-1
F7494383	1532073749116	-9180266998266353094	-1
