itemId	timestamp	address	parentItemId
F7629529	1535682398551	-8608182124092177080	-1
F7632038	1539187213106	-1848788721524220278	-1
F7632882	1535375412845	9096423301671818677	-1
F7632970	1535112357126	-4182952303657751208	-1
F7633245	1535375622340	-7763873056089379779	-1
F7633246	1535112430002	8721004544596209723	-1
F7637207	1536559252874	6863288185892770224	-1
F7638971	1539187180752	2522557717919988496	-1
F7642216	1536558754112	4591818761713987449	-1
F7647099	1539065370917	-1743798228505193158	-1
F7658443	1539593951663	-1	null
F7660638	1539065652869	5491168338925147774	-1
F7671433	1539065767914	-378114927423601818	-1
F7679528	1539172149329	3622430746677702478	-1
F7685650	1539065418038	4591818761713987449	-1
F7687499	1539173625807	914845595629141593	-1
F7687721	1539195484258	5106149975160207938	-1
F7688081	1539257073122	-1819522182820545843	-1
Fertigungsauftrag 12117	1536056364447	5106149975160207938	-1
Fertigungsauftrag 2801-0501	1536062217355	-6958684199778844888	-1
Gabelstapler -  Hubwagen 1	1532335081681	8405123468908889237	-1
Gabelstapler - Ameise 0501	1532335488647	-6958684199778844888	-1
Gabelstapler - Ameise 12117	1532335061125	5106149975160207938	-1
Gabelstapler - Ameise Nr. 20	1532335186782	-7573228149069718550	-1
Gabelstapler - Ger„t Nr 11	1532335437202	3584523153129488107	-1
Gabelstapler - Ger„t Nr 15	1532335387053	-359037136983245745	-1
Gabelstapler - Schubmast	1532335408666	-8762245971590074211	-1
Gabelstapler - Schubmast Nr 13	1532335245376	3622430746677702478	-1
Gabelstapler - Schubmast Nr 26	1532335473082	-6196490120761152012	-1
Gabelstapler - Schubmast Nr 27	1532335223162	-1864515622891090337	-1
Geo	1529570845370	1986543873053567483	-1
Geofancing	1529570748068	1986543873053567483	-1
Ger„t Nr 10	1532335325568	897836185907794843	-1
Kunde A	1520869772375	-1	test
Marker F7533800	1531405855565	2070991107496355897	-1
P7480806	1528891311111	-3170424921640195624	-1
P7516006	1535375432767	-1743798228505193158	-1
P7535763	1535112173382	2722126179444575358	-1
P7611089	1535112555072	-145401774635637016	-1
P7611091	1535112125367	2600212495939589915	-1
P7615236	1537186644234	-8287120046322900547	-1
P7634662	1535375573292	6629077505579689371	-1
P7682138	1539195665229	9007392730915793362	-1
P7688342	1539196011047	-5655706921459459053	-1
P7688392	1539249828463	-1	null
P7688393	1539249743928	-1	null
P7688397	1539249842358	-1	null
P7688398	1539249624434	-1	null
P7688399	1539249878593	-1	null
P7688400	1539249808714	-1	null
P7688401	1539249863480	-1	null
P7688402	1539249784457	-1	null
P7688403	1539249765393	-1	null
P7688404	1539249898182	-1	null
P7693170	1539065604688	-2571823634721508813	-1
P7693171	1539065640145	-2236301780034293580	-1
test	1519313607051	-1	-1
